Legislator,Party,"Vote on Energy Independence and Security Act of 2007 On Passage - Senate - H.R. 6, As Amended, 06/22/2007",Contribution Amount,Contributor Employer,Contributor Interest Group,Interest Group Position on Energy Independence and Security Act of 2007
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,-$2000,Harrington Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,Harrington Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Tot Hill Farm,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,JB Rose & Sons,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,Dale Bone Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,Dale Bone Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$600,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,Fresh Express,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$3000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,JB Rose & Sons,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,Faircloth Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,Faircloth Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$500,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$2000,Hoot-N-Hollar Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,Preslage Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$1700,Prestage Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$1300,Prestage Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$250,,Crop production & basic processing,Support
Richard Burr,Republican,No,$800,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$200,Biltmore Farms,Crop production & basic processing,Support
Richard Burr,Republican,No,$1000,,Crop production & basic processing,Support
Ben Cardin,Democrat,Yes,$500,,Crop production & basic processing,Support
Ben Cardin,Democrat,Yes,$200,,Crop production & basic processing,Support
Ben Cardin,Democrat,Yes,$200,,Crop production & basic processing,Support
Ben Cardin,Democrat,Yes,$200,,Crop production & basic processing,Support
Ben Cardin,Democrat,Yes,$1000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$300,Nelson Farming,Crop production & basic processing,Support
Jim DeMint,Republican,No,$2000,Titan Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,Super Sod,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,Super Sod,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$2000,Big 6 Farm,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,Gary H Slavens Farm,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,Big 6 Farm,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,Titan Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,Titan Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,Springbrook Farm,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,Hunt Farm,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,Hunt Farm,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,Garnett Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$2000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,Arnold Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,Titan Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,Henry West Farm,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,Hillandale Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,Alexander Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$2000,Super Sod,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$200,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,Wilson Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,Byrnes Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$750,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$500,McCall Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$222,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$222,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,McCall Farms,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,Super Sod,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,Super Sod,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$2000,Big 6 Farm LLC,Crop production & basic processing,Support
Jim DeMint,Republican,No,$1000,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$200,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$200,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$200,,Crop production & basic processing,Support
Jim DeMint,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$2000,Southern Empire Egg Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,John M Mobley & Sons Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Tillmanbrannen& Minick Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,G&R Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$321,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,Wesley Webb Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Heritage Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,Morris Ag Services,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$400,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$400,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$2000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Coley Farm & Gin,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,Crystal Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Southern Empire Egg Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,McLendon Acres,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Coley Farm & Gin,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$2000,John M Mobley & Sons Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Sanderson Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,Kevin E Hendrix Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Sanderson Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1050,John M Mobley & Sons Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1050,Mobley Plant Co,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,Coley Farm & Gin,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Robert E McLendon Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,Dewitt Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$2000,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$300,Plant Farmer,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Coggins Farm Supply,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$600,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,-$2000,Taylor Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$300,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$300,Miles Barry Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$300,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$200,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$2000,Taylor Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$250,,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,Rex Bullock Farms,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$500,Leon Farmer & Co,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,John M Mobley & Sons Farm,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,Mobley Plant Co,Crop production & basic processing,Support
Johnny Isakson,Republican,No,$1000,,Crop production & basic processing,Support
Bob Menéndez,Democrat,Yes,$500,,Crop production & basic processing,Support
Bob Menéndez,Democrat,Yes,$250,,Crop production & basic processing,Support
Bob Menéndez,Democrat,Yes,$2100,Farm Aid,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$250,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$300,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,Gary Roberts/Farmworker,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$2100,Maverick Farm,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$250,Small Scale Farmer/Writer,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$250,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$250,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$200,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,Farm Worker,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$250,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$200,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$1000,Farm Worker,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$250,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$500,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$200,Farm Manager,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$250,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$400,Farm Worker,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$200,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$1000,Farm Worker,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$200,Small Scale Farmer,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$400,,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$1000,Gary Roberts/Farmworker,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$200,Farm Manager,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$1000,Gary Roberts/Farmworker,Crop production & basic processing,Support
Bernie Sanders,Independent,Yes,$200,Kamilche Sea Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$250,Farming/Investments,Crop production & basic processing,Support
David Vitter,Republican,No,$250,,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,$500,Donald Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$200,,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,$1000,,Crop production & basic processing,Support
David Vitter,Republican,No,$1000,Sanderson Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$1000,Sanderson Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$1000,Sanderson Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$1000,Sanderson Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$1000,Sanderson Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$200,,Crop production & basic processing,Support
David Vitter,Republican,No,$1000,,Crop production & basic processing,Support
David Vitter,Republican,No,$500,Donald Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,,Crop production & basic processing,Support
David Vitter,Republican,No,$250,,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$750,,Crop production & basic processing,Support
David Vitter,Republican,No,-$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,-$2000,Fresh Express,Crop production & basic processing,Support
David Vitter,Republican,No,$250,Farmers Rice Milling,Crop production & basic processing,Support
David Vitter,Republican,No,$250,Trevethan Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$250,,Crop production & basic processing,Support
David Vitter,Republican,No,$2000,,Crop production & basic processing,Support
David Vitter,Republican,No,$250,,Crop production & basic processing,Support
David Vitter,Republican,No,$250,Farming/Investments,Crop production & basic processing,Support
David Vitter,Republican,No,$500,Young & Young Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$1400,Delta Land & Farm Mgmt,Crop production & basic processing,Support
David Vitter,Republican,No,$500,Farmers Rice Milling,Crop production & basic processing,Support
David Vitter,Republican,No,$250,,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$250,Farming/Investments,Crop production & basic processing,Support
David Vitter,Republican,No,$200,,Crop production & basic processing,Support
David Vitter,Republican,No,$250,4h Jersey Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$250,4h Jersey Farms,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$500,,Crop production & basic processing,Support
David Vitter,Republican,No,$500,Farming/Investments,Crop production & basic processing,Support
David Vitter,Republican,No,$250,,Crop production & basic processing,Support
Daniel K. Akaka,Democrat,Yes,$2000,Grove Farm Co,Crop production & basic processing,Support
Daniel K. Akaka,Democrat,Yes,$200,Kawamura Farms,Crop production & basic processing,Support
Daniel K. Akaka,Democrat,Yes,$2000,,Crop production & basic processing,Support
Daniel K. Akaka,Democrat,Yes,$300,,Crop production & basic processing,Support
Daniel K. Akaka,Democrat,Yes,$1500,,Crop production & basic processing,Support
Daniel K. Akaka,Democrat,Yes,$2000,Grove Farm Co,Crop production & basic processing,Support
Daniel K. Akaka,Democrat,Yes,$250,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$2000,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$2000,Blackberry Farms,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$1000,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$2000,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$2000,Blackberry Farms,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$500,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$2300,Thunder Farm,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$300,Thunder Farm,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$1000,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$1000,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$500,,Crop production & basic processing,Support
Andrew Lamar Alexander,Republican,Yes,$1000,,Crop production & basic processing,Support
Alan Wayne Allard,Republican,No,$1000,Faircloth Farms,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$300,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$300,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$300,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$2000,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$250,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$2000,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$350,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$350,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$2000,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$500,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$500,Hampton Farms,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$1000,Overbrook Farm,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$250,Farmers Rice Milling,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$250,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$200,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$200,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$200,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$200,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$1500,Bonnie Farms,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$2000,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$1000,,Crop production & basic processing,Support
Max Baucus,Democrat,Yes,$330,,Crop production & basic processing,Support
